code,title,points_r1_2021,points_r1_2020,points_r1_2019
TR081,Business  Economic and Social Studies (BESS),577,543,518*
TR019,Law and German,577,543,523
DC126,Actuarial Mathematics,577*,560,520
GY503,Speech and Language Therapy,578,543,529
TR054,Occupational Therapy,578*,533,500
CK707,Medical and Health Sciences,578*,542,510*
TR060,Biological and Biomedical Sciences,578*,543,510*
TR031,Mathematics,579,531,566
CK304,Law and Irish,588,540,462
TR038,Engineering with Management,589*,532,499
CK307,Law and Business,589*,556,522
RC004,Physiotherapy,589*,566,532*
TR035,Theoretical Physics,590,543,554
MI008,Education and Psychology - Primary Teaching,590,588,543
CR320,Biomedical Science - Offered jointly by CIT and UC,590*,565,546
TR004,Law,590*,566,532
TR053,Physiotherapy,590*,566,533*
DL826,Graphic Design,591,855,736
AD202,Education and Design or Fine Art (Second Level Tea,591,+matric, +mat
CK791,Medicine  - Graduate Entry (GAMSAT required),60*,57,58*
GY502,Occupational Therapy,601,555,532
DC119,Global Business (Canada),601,564,566
TR056,Human Health and Disease,601*,565,543
CK704,Occupational Therapy,601*,566,532*
TR006,Psychology,601*,567,555*
DN420,Physiotherapy,601*,578,542
DN300,Veterinary Medicine - Undergraduate Entry,601*,589,567
TR018,Law and French,602*,565,532*
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,740,768
GY303,Biomedical Science,613,556,533
RC005,Pharmacy,613*,579,555
DC116,Global Business (USA),613*,579,578
TR080,Global Business,613*,589,565
LM100,Physiotherapy,613*,589,565*
TR015,Philosophy  Political Science  Economics and Socio,613*,589,566
TR072,Pharmacy,613*,590,555*
DN440,Biomedical  Health and Life Sciences,613*,590,565*
CK703,Pharmacy,613*,590,577
DN230,Actuarial and Financial Studies,613*,601,577
TR034,Management Science and Information Systems Studies,625*,613,589*
CK702,Dentistry,625*,613,590
TR052,Dental Science,625*,613,590*
DN670,Economics and Finance,625*,613,601
DL833,Photography and Visual Media,671,650,636
CW038,Art (portfolio),700,700,700
CW858,Sports Management and Coaching (options  portfolio,700,700,700
GY262,Commerce in International Hotel Management (interv,709,681,671
DL838,Creative Music Production,713,754,746
TL801,Animation  Visual Effects and Motion Design (Level,718,281,281
GY501,Medicine (five year/six year course  HPAT required,737*,728,726*
CK701,Medicine (Undergraduate Entry - HPAT required),738,731,729
AD217,Illustration (portfolio),738,+matric, +mat
RC001,Medicine - Undergraduate Entry (HPAT required),741,733,729
TR051,Medicine (HPAT required),743*,735,730
DN400,Medicine - Undergraduate Entry (HPAT required),743*,737,735
AL863,Graphic and Digital Design (portfolio),747,781,703
AD211,Fashion Design (portfolio),760,+matric, +mat
GA283,Contemporary Art (portfolio),790,679,260
LC110,Art and Design (Common Entry  portfolio),794,740,734
LC518,Digital Animation Production (portfolio),807,808,816
LC502,Game Art and Design (portfolio),841,852,838
CR121,Music at CIT Cork School of Music,904,868,633
LC114,Fashion and Textiles for Product and Costume (port,914,880,900
DL832,Animation,989,920,855
