,code,title
811,MH003,Early Childhood - Teaching and Learning (full-time
812,MH101,Arts
813,MH103,Music
814,MH106,Psychology - 3 years
815,MH107,Social Science
816,MH109,Media Studies
817,MH116,Community and Youth Work (Full-Time)
818,MH201,Science
819,MH202,Biotechnology
820,MH203,Biological and Geographical Sciences
821,MH204,Physics with Astrophysics
822,MH206,Theoretical Physics and Mathematics
823,MH207,Data Science
824,MH208,Biological and Biomedical Sciences
825,MH209,Psychology (through Science) - 4 years
826,MH210,Pharmaceutical and Biomedical Chemistry
827,MH212,Science|Maths and Computer Science|Mathematics (wi
828,MH304,Engineering (Computer/Electronic/Communications)
829,MH305,Product Design
830,MH306,Robotics and Intelligent Devices
831,MH401,Finance (options)
832,MH402,Quantitative Finance
833,MH403,Accounting and Finance
834,MH404,Business (options)
835,MH407,Business and Accounting
836,MH411,Entrepreneurship
837,MH501,LLB Law - four year Single Major Law programme
838,MH502,Law (options)
839,MH601,Computer Science through Arts (options)
840,MH602,Computer Science through Science (options)
841,MH603,Computational Thinking
842,MH801,Early Childhood - Teaching and Learning (part-time
843,MH802,Community and Youth Work (part-time  in service)
844,MH803,Local Studies/Community Studies (part-time  evenin
845,AS001,Education  Home Economics and Biology - with concu
846,AS002,Education  Home Economics and Religious Ed - with
847,AS003,Education  Home Economics and Irish - with concurr
848,AS051,Nutrition  Food and Business Management
849,AS054,Home Economics
850,AS110,General Nursing
851,AS130,Intellectual Disability Nursing
852,SG141,Business
853,SG145,Business and ICT
854,SG146,Accounting
855,SG147,Sport with Business
856,SG148,Tourism with Event Management
857,SG150,Business in Marketing
858,SG241,Performing Arts
859,SG242,Early Childhood Care and Education
860,SG243,Social Care Practice
861,SG244,Fine Art
862,SG245,Creative Design
863,SG246,Computing
864,SG247,English and Psychology
865,SG248,Sociology and Politics
866,SG249,Writing and Literature
867,SG252,Software Development
868,SG253,Computing in Computer Networks and Cyber Security
869,SG254,Writing and Literature Online
870,SG255,Law and Business
871,SG341,General Engineering
872,SG342,Civil Engineering
873,SG343,Quantity Surveying
874,SG344,Mechanical Engineering
875,SG346,Construction Project Management and Applied Techno
876,SG347,Architecture
877,SG348,Interior Architecture and Design
878,SG349,Electronics and Self Driving Technologies
879,SG350,Robotics and Automation
880,SG442,Occupational Safety and Health
881,SG443,Human Nutrition
882,SG444,Science Undenominated
883,SG445,Pharmaceutical Science with Drug Development
884,SG447,Health Science and Physical Activity
885,SG448,Forensic Investigation and Analysis
886,SG449,Medical Biotechnology
887,SG450,Environmental Science with Ecology (Level 8)
888,TL801,Animation  Visual Effects and Motion Design (Level
889,TL802,TV  Radio and New Media (Level 8)
890,TL810,Computing with Software Development
891,TL811,Computing with Games Development
892,TL815,Computing (Degree Award options)
893,TL823,Event Management (3 year programme)
894,TL831,Business Studies (Major Specialism in: Acctng or M
895,TL842,Construction Management
896,TL844,Agricultural Engineering
897,TL845,Civil Engineering
898,TL847,Manufacturing Engineering
899,TL848,Agricultural Science
900,TL851,Wildlife Biology (Degree Award options)
901,TL855,Pharmaceutical Science (Degree Award options)
902,TL858,Veterinary Bioscience
903,TL871,Health and Leisure (Degree Award options)
904,TL872,Health and Leisure with Massage
905,TL873,Coaching and Sports Performance
906,TL874,Inclusive Sport and Physical Activity
907,TL880,Early Childhood Care and Education
908,TL881,Social Care
909,TL889,Counselling with Addiction - Mature applicants onl
910,TL890,General Nursing and Mature Applicants
911,TL891,Mental Health Nursing and Mature Applicants
912,WD001,Applied Computing (options)
913,WD002,Science (options)
914,WD005,Health Sciences (options)
915,WD006,Exercise Sciences (options)
916,WD007,Engineering (options)
917,WD025,Construction Management and Engineering
918,WD027,Music
919,WD048,Business (options)
920,WD084,Accounting
921,WD091,Hospitality Management
922,WD116,General Nursing
923,WD117,Psychiatric Nursing
924,WD120,Intellectual Disability Nursing
925,WD134,International Business
926,WD137,Design (Visual Communications)
927,WD140,Laws
928,WD144,Architecture
929,WD147,Pharmaceutical Science
930,WD150,Criminal Justice Studies
931,WD152,Visual Art
932,WD161,Computer Forensics and Security
933,WD162,Quantity Surveying
934,WD163,Psychology
935,WD186,Sports Coaching and Performance
936,WD187,Social Science
937,WD191,Agricultural Science
938,WD192,Social Care Practice
939,WD193,Marketing and Digital Media
940,WD194,Culinary Arts
941,WD195,Architectural and Building Information Modelling T
942,WD200,Arts (options)
943,WD210,Software Systems Development
944,WD211,Creative Computing
945,WD212,Recreation and Sport Management
946,WD230,Mechanical and Manufacturing Engineering
947,WD231,Early Childhood Care and Education
948,WD232,Business Information Systems
949,AL600,Software Design
950,AL601,Computer Engineering
951,AL602,Mechanical Engineering
952,AL604,Civil Engineering
953,AL605,Music and Instrument Technology
954,AL630,Pharmacy Technician
955,AL631,Dental Nursing
956,AL632,Applied Science
957,AL650,Business
958,AL660,Culinary Arts
959,AL661,Bar Supervision
960,AL663,Business (Sport and Recreation)
961,AL701,Computer Engineering with Network Infrastructure
962,AL702,Software Design with Artificial Intelligence for Cloud Computing
963,AL703,Software Design with Virtual Reality and Gaming
964,AL704,Computer Engineering
965,AL705,Software Design with Mobile Apps and Connected Devices
966,AL710,Mechanical Engineering
967,AL711,Mechanical Engineering and Renewable Energy
968,AL712,Automation and Robotics
969,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng)
970,AL718,Music and Sound Engineering
971,AL721,Civil Engineering
972,AL730,Biotechnology
973,AL731,Veterinary Nursing
974,AL734,Pharmaceutical Sciences (Drug Development and Analysis)
975,AL740,Exercise and Health Science
976,AL751,Digital Marketing
977,AL752,Business
978,AL761,Hotel and Leisure Management
979,AL763,Graphic Design (portfolio)
980,AL764,Early Years Care and Education
981,AL765,Applied Social Studies in Social Care
982,CI001,Counselling Skills and Psychotherapy Studies
983,CI002,Counselling Skills and Addiction Studies
984,CI005,Counselling Skills and Youth Studies
985,CR001,Applied Physics and Instrumentation
986,CR006,Applied Biosciences
987,CR007,Analytical and Pharmaceutical Chemistry
988,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT)
989,CR016,Software Development
990,CR021,Business (Common Entry)
991,CR022,Business Administration
992,CR031,Social Care Work
993,CR032,Recreation and Leisure Management
994,CR035,Community Development
995,CR041,Tourism Management
996,CR042,Hospitality Management
997,CR046,Automotive Technology and Management
998,CR051,Civil Engineering
999,CR052,Construction
1000,CR053,Interior Architecture
1001,CR055,Environmental Engineering
1002,CR061,Electronic Engineering
1003,CR062,Electrical Engineering
1004,CR071,Mechanical Engineering
1005,CR075,Biomedical Engineering
1006,CR090,Architectural Technology
1007,CR094,Nautical Science at National Maritime College of Ireland
1008,CR095,Marine Engineering at National Maritime College of Ireland
1009,CR126,Popular Music: Drums at CIT Cork School of Music
1010,CR127,Popular Music: Electric Guitar at CIT Cork School of Music
1011,CR128,Popular Music: Keyboards at CIT Cork School of Music
1012,CR129,Popular Music: Voice at CIT Cork School of Music
1013,CR300,Physical Sciences (Common Entry)
1014,CR620,Early Childhood Education and Care
1015,CR640,Culinary Arts
1016,CR650,Beverage Industry Management
1017,CR655,Culinary Studies
1018,CR657,Hospitality Studies
1019,CR805,Marine Electrotechnology at National Maritime College of Ireland
1020,CR888,Information Technology
1021,CT110,Computing in Information Technology
1022,CT116,Information Technology
1023,CW006,Business
1024,CW027,Sustainable Farm Management and Agribusiness
1025,CW037,Business (options)
1026,CW047,Visual Communications and Design
1027,CW057,Art (portfolio)
1028,CW077,Tourism and Event Management
1029,CW106,Physiology and Health Science
1030,CW107,Analytical Science
1031,CW116,Pharmacy Technician Studies
1032,CW117,Biosciences
1033,CW126,Science - Applied Biology or Applied Chemistry
1034,CW206,Computing - Applications or Programming
1035,CW207,Software Development
1036,CW217,Information Technology Management
1037,CW227,Cybercrime and IT Security
1038,CW237,Computing in Interactive Digital Art and Design
1039,CW407,Architectural Technology
1040,CW417,Construction Management with Building Services
1041,CW427,Civil Engineering
1042,CW507,Aircraft Systems
1043,CW517,Mechanical Engineering
1044,CW527,Electronic Engineering
1045,CW547,TV and Media Production
1046,CW706,Legal Studies
1047,CW707,Industrial Design
1048,CW717,Professional Social Care Practice
1049,CW807,Sport Coaching and Business Management - GAA (portfolio)
1050,CW817,Sport Coaching and Business Management - Rugby (portfolio)
1051,CW827,Sport Coaching and Business Management - Soccer (portfolio)
1052,CW837,Digital Marketing with Analytics
1053,CW906,Business
1054,CW917,Business (options)
1055,CW926,Business with Law
1056,CW936,Accounting
1057,DB516,Financial Services
1058,DB528,Applied Social Care
1059,DB534,Sound Engineering and Music Production
1060,DB563,Arts
1061,DB571,Business Studies
1062,DB572,Business in Accounting
1063,DB573,Business in Marketing
1064,DB574,Business in Information Technology
1065,DB576,Film and Creative Media
1066,DC201,Common Entry into Science (Undenominated Entry)
1067,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha"
1068,DK710,Business and Management
1069,DK711,Business and Technology
1070,DK712,Digital Marketing and Public Relations
1071,DK721,Computing
1072,DK722,Augmented and Virtual Reality
1073,DK730,Building Surveying
1074,DK731,Architectural Technology
1075,DK732,Construction Management
1076,DK740,Engineering - Electrical and Electronic Systems
1077,DK742,Engineering - Mechanical Engineering
1078,DK744,Engineering - Civil Engineering
1079,DK750,Hospitality Management
1080,DK752,Event Management
1081,DK753,Culinary Arts
1082,DK763,"Sport, Exercise and Enterprise"
1083,DK767,Community Youth Work (interview)
1084,DK768,Audio and Music Production
1085,DK769,Creative Media
1086,DK770,Theatre & Film Practice
1087,DK771,Musical Theatre (audition)
1088,DK781,Science - Bioscience
1089,DK783,Science - Pharmaceutical Science
1090,DK784,Veterinary Nursing
1091,DK860,Music (audition)
1092,DL701,Business - Applied Entrepreneurship
1093,DL821,"English, Media and Cultural Studies"
1094,DL828,"3D Design, Modelmaking and Digital Art"
1095,DL829,Design for Stage and Screen (Costume Design)
1096,DL830,Design for Stage and Screen (Character Makeup Design)
1097,DL831,Design for Stage and Screen (Production Design)
1098,DL834,Film and Television Production
1099,DN252,Dairy Business
1100,DN253,Agri - Environmental Sciences
1101,DN271,Forestry
1102,DN272,"Horticulture, Landscape and Sportsturf Management"
1103,DS602,Computing and Multimedia (Level 6 - Higher Certificate)
1104,DS603,Computing and Multimedia (Level 6 - Certificate)
1105,DS701,Business
1106,DS702,Computing and Multimedia (Level 7)
1107,GA160,Business
1108,GA170,Business
1109,GA171,Business Information Systems
1110,GA172,Rural Enterprise and Agri-Business
1111,GA174,Marketing and Sales
1112,GA175,Finance
1113,GA176,Business with Entrepreneurship
1114,GA272,Heritage Studies
1115,GA273,Contemporary Art
1116,GA274,Design
1117,GA360,Business in Tourism
1118,GA361,Culinary Arts
1119,GA362,Hotel and Hospitality Operations
1120,GA364,Heritage Studies
1121,GA370,Hotel and Catering Management
1122,GA376,Event Management with Public Relations
1123,GA377,International Tourism Management
1124,GA378,Culinary and Gastronomic Science
1125,GA470,Construction Management
1126,GA471,Quantity Surveying and Construction Economics
1127,GA472,Architectural Technology
1128,GA473,Civil Engineering
1129,GA570,Software and Electronic Engineering
1130,GA670,Mechanical Engineering
1131,GA673,Energy Engineering
1132,GA674,Biomedical Engineering
1133,GA675,Agricultural Engineering
1134,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng)
1135,GA677,Manufacturing Engineering Design
1136,GA770,Applied Freshwater and Marine Biology
1137,GA771,Applied Biology and Biopharmaceutical Science
1138,GA772,Chemical and Pharmaceutical Science
1139,GA773,Physics and Instrumentation
1140,GA774,Science (Undenominated)
1141,GA775,Computing in Software Development
1142,GA776,Computing and Digital Media
1143,GA777,Agriculture and Environmental Management
1144,GA862,History & Geography
1145,GA864,Early Childhood Education and Care
1146,GA870,Outdoor Education and Leisure
1147,GA871,Early Childhood Education and Care
1148,GA872,Culture and Environment
1149,GA879,Applied Social Care
1150,GA974,"Furniture Design, Making and Technology - Common Entry"
1151,GB001,Business
1152,GC250,Communications and Media Production
1153,GC305,International Hospitality Management
1154,GC306,International Hospitality Management
1155,GC335,Computing
1156,GC410,Marketing
1157,GC411,Business
1158,GC435,Computing
1159,GC460,Music Production for Games (portfolio)
1160,GC465,Communications
1161,GC466,Film and TV Production
1162,GC470,Photographic Media
1163,GC475,Photography
1164,GC490,Interior Design
1165,GC495,Fashion
1166,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin)
1167,GY112,Arts with Film Studies
1168,GY120,"Arts (Child, Youth and Family: Policy and Practice)"
1169,GY121,Arts (Children`s Studies)
1170,GY124,Arts (Arts with Data Science)
1171,GY126,Arts (English and Media Studies)
1172,GY131,Arts (History and Globalisation Studies)
1173,LC221,Accounting and Finance
1174,LC222,Marketing and Management
1175,LC228,Sports Development and Coaching
1176,LC230,Business with Computing
1177,LC235,Internet Systems Development
1178,LC251,Civil Engineering
1179,LC257,Interior Design
1180,LC260,Applied Biology
1181,LC267,Forensic and Pharmaceutical Sciences
1182,LC268,Medical Technology
1183,LC270,Music Technology and Production
1184,LC271,Electrical Engineering
1185,LC276,Creative Broadcast and Film Production
1186,LC277,Industrial Automation and Robotic Systems
1187,LC278,Renewable and Electrical Energy Engineering
1188,LC279,Electronic Engineering
1189,LC281,Automobile Technology
1190,LC283,Precision Engineering
1191,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry"
1192,LC285,Mechanical Engineering
1193,LC286,Road Transport Technology and Management
1194,LC290,Community Sport Development
1195,LC336,Computing
1196,LC398,Culinary Arts
1197,LC399,Hospitality Supervision
1198,LC401,Early Childhood Education and Care
1199,LC414,Data Analytics and Cyber Security
1200,LC415,Business
1201,LC423,Sports Strength and Conditioning
1202,LC425,Environmental Science
1203,LC428,Environmental Science and Agriculture
1204,LC432,Early Childhood Education and Care
1205,LC434,Environmental Science and Agriculture
1206,LC504,Creative Media and Design
1207,LC602,Social Care Work
1208,LC603,Early Childhood Education and Care
1209,LC605,Business
1210,LC613,Early Childhood Education and Care
1211,LM180,Equine Science
1212,LY107,Business - Common Entry
1213,LY206,Sports Studies
1214,LY207,Law with Criminal Justice
1215,LY317,Culinary Arts
1216,LY327,Hospitality And Tourism - Common Entry
1217,LY427,Digital Film and Video
1218,LY437,Animation
1219,LY447,Fashion with Promotion
1220,LY457,Graphic and Digital Design
1221,LY507,Quantity Surveying
1222,LY527,Civil Engineering
1223,LY607,Electronic Engineering
1224,LY617,Mechanical Engineering
1225,LY707,Computer Games Development
1226,LY717,Computing
1227,LY737,Computer Security and Digital Forensics
1228,LY806,Pharmacy Technician
1229,LY816,Dental Nursing
1230,LY817,Bioscience
1231,LY826,Health Science with Physiotherapy Studies
1232,LY836,Health Science with Occupational Therapy Studies
1233,LY837,Food Science and Nutrition
1234,LY846,Health Science with Dietetics Studies
1235,LY847,Veterinary Nursing
1236,LY867,Pharmaceutical & Medicinal Science
1237,LY877,Agriculture
1238,LY906,"Early Childhood Care, Health and Education"
1239,LY916,Health and Social Care
1240,MH405,Equine Business
1241,NC102,Computing
1242,NC103,Business
1243,NC104,Business Computing
1244,NM701,Montessori Education
1245,PC402,Arts and Humanities
1246,PC404,Applied Social Studies - Professional Social Care
1247,SG101,Business
1248,SG102,Computing (Level 6 - General Entry)
1249,SG131,Computing - Games Development
1250,SG134,Applied Sport with Business
1251,SG135,Business in Tourism with Event Management
1252,SG136,Computing - Software Development
1253,SG137,Computing (Computer Networks and Cloud Infrastructure)
1254,SG138,Computing (Level 7 - General Entry)
1255,SG142,Business in International Marketing and Languages (French)
1256,SG144,Business in International Marketing and Languages (Spanish)
1257,SG231,Fine Art
1258,SG232,Creative Design
1259,SG235,Performing Arts (Theatre Design)
1260,SG236,Performing Arts (Acting)
1261,SG250,Application Design and User Experience
1262,SG251,Computing (Smart Technologies)
1263,SG300,Engineering (General Entry)
1264,SG302,Construction Economics
1265,SG308,Applied Construction Technology
1266,SG330,Engineering (General Entry)
1267,SG331,Interior Architecture and Design
1268,SG332,Advanced Wood and Sustainable Building Technology
1269,SG333,Mechanical Engineering
1270,SG334,Mechatronic Engineering
1271,SG336,Precision Engineering and Design
1272,SG338,Civil Engineering
1273,SG339,Quantity Surveying
1274,SG401,Science
1275,SG404,Environmental Science with Ecology (Level 6)
1276,SG406,Health and Exercise Science
1277,SG431,Pharmaceutical Science with Drug Development
1278,SG433,Occupational Safety and Health
1279,SG434,Human Nutrition
1280,SG435,Health Science and Physiology
1281,SG436,Biomedical Science
1282,SG437,Forensic Investigation and Analysis
1283,SG439,Environmental Science with Ecology (Level 7)
1284,SG530,Health and Medical Information Science (Online)
1285,SG535,Business Administration
1286,SG536,Business
1287,SG537,Marketing and Sales
1288,TL620,Culinary Arts
1289,TL651,Science (Biological and Environmental Studies)
1290,TL652,Pharmacy Technician
1291,TL701,"Animation, Visual Effects and Motion Design (Level 7)"
1292,TL702,"TV, Radio and New Media (Level 7)"
1293,TL710,Computing with Software Development
1294,TL711,Computing with Games Development
1295,TL715,Computing (Degree Award options)
1296,TL716,Computer Systems and Networking
1297,TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt)
1298,TL743,Agricultural Mechanisation
1299,TL744,Agricultural Engineering
1300,TL745,Civil and Environmental Engineering
1301,TL747,Engineering in Mechanical and Manufacturing Engineering
1302,TL748,Agricultural Science
1303,TL755,Pharmaceutical Science (Degree Award options)
1304,TL758,Animal Bioscience
1305,TL771,Health and Leisure (Degree Award Options)
1306,TL772,Health and Leisure with Massage
1307,TL773,Coaching and Sports Performance
1308,TL780,Early Childhood Care and Education
1309,TL781,Social Care
1310,TR012,History and Political Science
1311,TR017,Law and Business
1312,TR020,Law and Political Science
1313,TR029,Political Science and Geography
1314,TR082,Computer Science and Business
1315,TR083,Sociology and Social Policy
1316,TR111,Ancient History and Archaeology/Geography
1317,TR112,Ancient History and Archaeology/History
1318,TR113,Ancient History and Archaeology/History of Art and Architecture
1319,TR114,Ancient History and Archaeology/Modern Language
1320,TR117,Ancient History and Archaeology/Religion
1321,TR166,Classical Civilisation/English Literature
1322,TR173,Classical Civilisation/History of Art and Architecture
1323,TR177,Classical Civilisation/Modern Language
1324,TR179,Classical Civilisation/Philosophy
1325,TR198,Economics/Geography
1326,TR202,Economics/History
1327,TR207,Economics/Mathematics
1328,TR208,Economics/Modern Language
1329,TR209,Economics/Philosophy
1330,TR212,Economics/Sociology
1331,TR228,Classical Languages/English Literature
1332,TR231,Classical Languages/History of Art and Architecture
1333,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations"
1334,TR239,Classical Languages/Modern Language
1335,TR262,English Literature/History
1336,TR263,English Literature/History of Art and Architecture
1337,TR269,English Literature/Philosophy
1338,TR272,English Literature/Sociology
1339,TR276,English Literature/Drama Studies
1340,TR277,English Literature/Modern Language
1341,TR311,Film/Drama Studies
1342,TR312,Film/English Literature
1343,TR320,Film/Music
1344,TR322,Geography/History
1345,TR323,Drama Studies/Modern Language
1346,TR324,Film/Modern Language
1347,TR325,Film/History
1348,TR326,Geography/Modern Language
1349,TR332,Geography/Sociology
1350,TR443,History/History of Art and Architecture
1351,TR447,History/Modern Language
1352,TR449,History/Philosophy
1353,TR452,History/Sociology
1354,TR454,History/Religion
1355,TR455,History of Art and Architecture/Modern Language
1356,TR479,History of Art and Architecture/Philosophy
1357,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology"
1358,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation"
1359,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History"
1360,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language"
1361,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music"
1362,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion"
1363,TR597,Mathematics/Modern Language
1364,TR598,Mathematics/Music
1365,TR599,Mathematics/Philosophy
1366,TR629,Music/Philosophy
1367,TR635,Music/Drama Studies
1368,TR636,Music/Modern Language
1369,TR638,Music/Religion
1370,TR639,Philosophy/Modern Language
1371,TR662,Philosophy/Sociology
1372,TR663,Religion/Classical Civilisation
1373,TR664,Religion/English Literature
1374,TR665,Religion/History of Art and Architecture
1375,TR666,Religion/Modern Language
1376,TR667,French/Modern Language
1377,TR668,German/Modern Language
1378,TR669,Irish/Modern Language
1379,TR670,Italian/Modern Language
1380,TR671,Russian/Modern Language
1381,TR672,Spanish/Modern Language
1382,TR755,Sociology/Drama Studies
1383,TR756,Sociology/Modern Language
1384,TR801,Dental Nursing
1385,TR802,Dental Hygiene
1386,TR803,Dental Technology
1387,TU601,Electronic Engineering
1388,TU602,Computer Engineering
1389,TU603,Mechanical Engineering
1390,TU641,Bar and Restaurant Management
1391,TU642,Culinary Arts
1392,TU643,Culinary Arts (Professional Cookery Practice)
1393,TU644,Food Management and Entrepreneurship
1394,TU645,Food Science and Management
1395,TU651,Applied Biology
1396,TU652,Computing
1397,TU653,Computing (Information Technology)
1398,TU654,Pharmacy Technician Studies
1399,TU655,Computing (Networking Technologies) Learn and Work
1400,TU671,Business
1401,TU672,Business (Common entry)
1402,TU673,Business Management
1403,TU674,Business Studies
1404,TU675,Marketing
1405,TU676,Retail Management and Marketing
1406,TU701,Automation Engineering
1407,TU702,Biomedical Design
1408,TU703,Building Engineering
1409,TU704,Civil Engineering
1410,TU705,Electrical and Control Engineering
1411,TU706,Electrical Services Engineering
1412,TU707,Electronic Engineering
1413,TU708,Engineering (Common Entry with Award options)
1414,TU709,Engineering (General Entry)
1415,TU710,Engineering Reliability Management
1416,TU711,Mechatronic Engineering
1417,TU712,Sustainable Energy and Environmental Engineering
1418,TU713,Computer Engineering
1419,TU714,Electronics and Communications Engineering
1420,TU715,Engineering Software
1421,TU716,Networking Technology
1422,TU717,Mechanical Engineering
1423,TU718,Mechanical Engineering
1424,TU719,"Design,Technology and Innovation"
1425,TU720,Automotive Management and Technology
1426,TU721,Aviation Technology
1427,TU722,Process Instrumentation and Automation Learn and Work
1428,TU731,"Auctioneering, Valuation and Estate Agency"
1429,TU732,Timber Product Technology
1430,TU735,Sports Management and Coaching
1431,TU736,Sports Science and Health
1432,TU741,Baking and Pastry Arts Management
1433,TU742,Culinary Arts
1434,TU745,Hospitality Management
1435,TU746,International Hospitality and Tourism Management
1436,TU747,Tourism Management
1437,TU751,Biosciences
1438,TU752,DNA and Forensic Analysis
1439,TU754,Industrial and Environmental Physics
1440,TU755,Science (General Entry)
1441,TU756,Computing
1442,TU757,Computing (Information Technology)
1443,TU758,Digital Forensics and Cyber Security
1444,TU759,Information Technology Management
1445,TU760,Bioanalysis
1446,TU761,Ophthalmic Dispensing
1447,TU762,Medicinal Chemistry and Pharmaceutical Sciences
1448,TU763,Pharmaceutical Science
1449,TU771,Business
1450,TU772,Business (Common Entry with Award options)
1451,TU774,Management
1452,TU775,Accounting and Finance
1453,TU776,Accounting and Finance
1454,TU777,Business and Information Technology
1455,TU778,International Business
1456,TU779,International Business
1457,TU780,Advertising and Marketing Communications
1458,TU781,Digital Marketing
1459,TU782,Digital Marketing
1460,TU783,Marketing
1461,TU791,Applied Social Studies in Social Care
1462,TU792,Community and Youth Development
1463,TU793,Early Childhood Care and Education
1464,TU794,Early Childhood Care and Education
1465,TU795,Visual Merchandising and Display
1466,TU796,Creative Digital Media
1467,TU803,Electronic Engineering
1468,TU806,Sustainable Energy Engineering
1469,TU808,Engineering Software
1470,TU809,Mechanical Engineering
1471,TU813,Automation Engineering
1472,TU873,Industrial Mathematics
1473,TU901,Business
1474,TU908,Management
1475,TU909,Accounting and Finance
1476,TU911,Accounting and Finance
1477,TU913,Business and Information Technology
1478,TU915,International Business
1479,TU916,International Business
1480,TU923,Marketing Management
1481,TU966,Languages and English Studies
1482,TU971,Contemporary Visual Culture
1483,TU972,Creative and Cultural Industries
1484,TU986,Print Media Technology and Management
1485,TU993,Early Childhood Care and Education
1486,TU994,Early Childhood Care and Education
1487,WD003,Business
1488,WD010,Electronic Engineering
1489,WD011,Mechanical Engineering
1490,WD013,Legal Studies
1491,WD018,Applied Social Care
1492,WD019,Recreation and Sport Management
1493,WD076,Forestry
1494,WD094,Architectural Technology
1495,WD096,Horticulture (Waterford - Kildalton)
1496,WD097,Horticulture (Dublin - National Botanic Gardens)
1497,WD126,Agriculture
1498,WD139,Civil Engineering
1499,WD149,Early Childhood Studies
1500,WD151,Software Systems Development
1501,WD153,Multimedia Applications Development
1502,WD155,Information Technology
1503,WD159,Business
1504,WD164,Food Science with Business
1505,WD172,Culinary Arts
1506,WD173,Hospitality Studies
1507,WD174,Tourism
1508,WD175,Pharmaceutical Science
1509,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)"
1510,WD182,Electrical Engineering
1511,WD184,Retail Management
1512,WD188,Applied Health Care
1513,WD205,Molecular Biology with Biopharmaceutical Science
1514,WD206,Electronic Engineering
1515,WD207,Mechanical Engineering
1516,WD208,Manufacturing Engineering
1517,AL853,Accounting and Law
1518,CW178,Sport Science (options)
1519,CK116,Sports Studies and Physical Education
1520,CK502,Food Marketing and Entrepreneurship
1521,CK506,International Development and Food Policy
1522,DC005,Education - Primary Teaching - Irish Sign Language
1523,DC167,Physics with Astronomy
1524,DC171,Applied Physics
1525,DC173,Physics with Biomedical Sciences
1526,DT001,Product Design
1527,DT028,Transport Operations and Technology
1528,DT035,Electrical Services and Energy Management
1529,DT066,Engineering (General Entry)
1530,DT101,Architecture (test and interview)
1531,DT106,Planning and Environmental Management
1532,DT110,Property Economics (Valuation Surveying)
1533,DT111,Quantity Surveying and Construction Economics
1534,DT112,Geographic Science
1535,DT117,Construction Management
1536,DT175,Architectural Technology
1537,DT201,Science (General Entry)
1538,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical)
1539,DT204,Biomedical Science
1540,DT205,Mathematical Sciences
1541,DT206,Biomedical and Molecular Diagnostics
1542,DT211,Computer Science (Infrastructure)
1543,DT220,Industrial Mathematics
1544,DT221,Physics with Energy and Environment
1545,DT222,Physics Technology
1546,DT223,Human Nutrition and Dietetics
1547,DT224,Optometry
1548,DT225,Public Health Nutrition
1549,DT227,Science with Nanotechnology
1550,DT228,Computer Science
1551,DT229,Clinical Measurement Science
1552,DT235,Physics with Medical Physics and Bioengineering
1553,DT282,Computer Science (International)
1554,DT299,Chemical Sciences with Medicinal Chemistry
1555,DT302,Business Analytics
1556,DT304,E-Commerce in Retailing
1557,DT321,Business and Law
1558,DT341,Marketing
1559,DT343,Retail and Services Management
1560,DT354,Business Computing
1561,DT358,Logistics and Supply Chain Management
1562,DT365,Business and Management
1563,DT366,Accounting and Finance
1564,DT398,Human Resource Management
1565,DT399,Economics and Finance
1566,DT401,International Hospitality Management
1567,DT405,Culinary Science
1568,DT407,Culinary Arts
1569,DT412,Tourism Marketing
1570,DT413,Event Management
1571,DT416,Culinary Entrepreneurship
1572,DT420,Nutraceuticals in Health and Nutrition
1573,DT421,Food Innovation
1574,DT422,Pharmaceutical Healthcare
1575,DT491,Environmental Health
1576,DT501,Music
1577,DT504,Film and Broadcasting
1578,DT506,Commercial Modern Music
1579,DT508,Game Design
1580,DT517,Languages and English Studies
1581,DT518,Languages and International Tourism
1582,DT529,Drama (Performance)
1583,DT532,Law (LL.B.)
1584,DT533,Contemporary Visual Culture
1585,DT544,Interior Design
1586,DT545,Design - Visual Communication
1587,DT546,Fine Art
1588,DT555,International Business and Languages
1589,DT559,Photography
1590,DT571,Social Care
1591,DT572,Early Childhood Education
1592,DT582,Journalism
1593,DT596,Print Media Technology and Management
1594,DT597,Creative and Cultural Industries
1595,DL835,Creative Media Technologies
1596,GC405,International Hospitality Management (Dublin)
1597,ID003,Business Studies with Chinese
1598,BN101,Business
1599,BN103,Business and Information Technology
1600,BN104,Computing (Information Technology)
1601,BN107,Applied Social Studies in Social Care
1602,BN108,Engineering (Common Entry with Award options)
1603,BN109,Business (Common Entry with Award options)
